,"0.02"
,"0.02"
,"0.02"
,"0.01"
,"0.04"
,"0.05"
,"0.07"
,"0.04"
,"0.04"
,"0.02"
,"0.1"
,"0.07"
,"0.04"
,"0.07"
,"0.02"
,"0.04"
,"0.02"
,"0.05"
,"0.06"
,"0.07"
,"0.05"
,"0.08"
,"0.04"
,"0.07"
,"0.03"
,"0.06"
,"0.03"
,"0.21"
,"0.02"
,"0.05"
,"0.04"
,"0.02"
,"0.12"
,"0.07"
,"0.03"
,"0.06"
,"0.06"
,"0.06"
,"0.04"
,"0.05"
,"0.06"
,"0.1"
,"0.13"
,"0.07"
,"0.14"
,"0.02"
,"0.03"
,"0.03"
,"0.05"
,"0.08"
,"0.02"
,"0.08"
,"0.07"
,"0.02"
,"0.02"
,"0.07"
,"0.05"
,"0.06"
,"0.07"
,"0.1"
,"0.04"
,"0.11"
,"0.02"
,"0.13"
,"0.02"
,"0.04"
,"0.06"
,"0.07"
,"0.04"
,"0.05"
,"0.04"
,"0.04"
,"0.04"
,"0.04"
,"0.05"
,"0.07"
,"0.02"
,"0.06"
,"0.09"
,"0.07"
,"0.08"
,"0.05"
,"0.04"
,"0.04"
,"0.05"
,"0.07"
,"0.05"
,"0.03"
,"0.03"
,"0.06"
,"0.05"
,"0.05"
,"0.03"
,"0.1"
,"0.1"
,"0.02"
,"0.02"
,"0.05"
,"0.09"
,"0.05"
,"0.05"
,"0.05"
,"0.1"
,"0.05"
,"0.06"
,"0.07"
,"0.04"
,"0.15"
,"0.05"
,"0.02"
,"0.03"
,"0.03"
,"0.05"
,"0.13"
,"0.22"
,"0.05"
,"0.03"
,"0.06"
,"0.09"
,"0.1"
,"0.04"
,"0.03"
,"0.04"
,"0.06"
,"0.05"
,"0.03"
,"0.01"
,"0.02"
,"0.02"
,"0.04"
,"0.14"
,"0.03"
,"0.04"
,"0.03"
,"0.03"
,"0.06"
,"0.05"
,"0.12"
,"0.2"
,"0.09"
,"0.03"
,"0.07"
,"0.02"
,"0.09"
,"0.06"
,"0.03"
,"0.07"
,"0.22"
,"0.1"
,"0.07"
,"0.02"
,"0.09"
,"0.05"
,"0.04"
,"0.06"
,"0.04"
,"0.04"
,"0.07"
,"0.03"
,"0.02"
,"0.03"
,"0.1"
,"0.04"
,"0.03"
,"0.09"
,"0.04"
,"0.06"
,"0.03"
,"0.05"
,"0.04"
,"0.07"
,"0.05"
,"0.02"
,"0.04"
,"0.14"
,"0.03"
,"0.04"
,"0.03"
,"0.2"
,"0.02"
,"0.07"
,"0.08"
,"0.04"
,"0.08"
,"0.04"
,"0.03"
,"0.03"
,"0.03"
,"0.07"
,"0.05"
,"0.03"
,"0.04"
,"0.02"
,"0.02"
,"0.06"
,"0.03"
,"0.02"
,"0.03"
,"0.04"
,"0.02"
,"0.06"
,"0.09"
,"0.05"
,"0.03"
,"0.04"
,"0.07"
,"0.02"
,"0.07"
,"0.05"
,"0.04"
,"0.02"
,"0.03"
,"0.03"
,"0.02"
,"0.05"
,"0.25"
,"0.05"
,"0.06"
,"0.19"
,"0.04"
,"0.08"
,"0.02"
,"0.07"
,"0.13"
,"0.05"
,"0.02"
,"0.02"
,"0.07"
,"0.02"
,"0.11"
,"0.08"
,"0.02"
,"0.04"
,"0.02"
,"0.1"
,"0.14"
,"0.07"
,"0.02"
,"0.05"
,"0.09"
,"0.19"
,"0.05"
,"0.02"
,"0.08"
,"0.07"
,"0.04"
,"0.04"
,"0.05"
,"0.08"
,"0.02"
,"0.07"
,"0.06"
,"0.04"
,"0.05"
,"0.04"
,"0.03"
,"0.04"
,"0.09"
,"0.09"
,"0.15"
,"0.04"
,"0.04"
,"0.12"
,"0.09"
,"0.09"
,"0.02"
,"0.04"
,"0.04"
,"0.03"
,"0.03"
,"0.02"
,"0.05"
,"0.05"
,"0.05"
,"0.02"
,"0.04"
,"0.04"
,"0.15"
,"0.05"
,"0.06"
,"0.08"
,"0.06"
,"0.04"
,"0.07"
,"0.06"
,"0.03"
,"0.06"
,"0.15"
,"0.05"
,"0.09"
,"0.1"
,"0.02"
,"0.09"
,"0.02"
,"0.06"
,"0.03"
,"0.05"
,"0.06"
,"0.12"
,"0.06"
,"0.04"
,"0.02"
,"0.11"
,"0.04"
,"0.03"
,"0.02"
,"0.05"
,"0.18"
,"0.11"
,"0.02"
,"0.04"
,"0.03"
,"0.11"
,"0.06"
,"0.1"
,"0.02"
,"0.03"
,"0.17"
,"0.13"
,"0.12"
,"0.07"
,"0.02"
,"0.05"
,"0.04"
,"0.04"
,"0.03"
,"0.1"
,"0.05"
,"0.03"
,"0.03"
,"0.13"
,"0.02"
,"0.06"
,"0.03"
,"0.02"
,"0.03"
,"0.09"
,"0.11"
,"0.11"
,"0.19"
,"0.04"
,"0.12"
,"0.07"
,"0.03"
,"0.04"
,"0.04"
,"0.04"
,"0.05"
,"0.11"
,"0.09"
,"0.02"
,"0.06"
,"0.04"
,"0.04"
,"0.12"
,"0.02"
,"0.06"
,"0.09"
,"0.04"
,"0.09"
,"0.07"
,"0.08"
,"0.05"
,"0.04"
,"0.04"
,"0.04"
,"0.05"
,"0.02"
,"0.02"
,"0.06"
,"0.05"
,"0.06"
,"0.07"
,"0.22"
,"0.04"
,"0.11"
,"0.02"
,"0.02"
,"0.05"
,"0.08"
,"0.03"
,"0.04"
,"0.05"
,"0.05"
,"0.04"
,"0.03"
,"0.02"
,"0.06"
,"0.04"
,"0.05"
,"0.02"
,"0.04"
,"0.04"
,"0.04"
,"0.08"
,"0.05"
,"0.06"
,"0.04"
,"0.09"
,"0.09"
,"0.03"
,"0.05"
,"0.05"
,"0.04"
,"0.05"
,"0.13"
,"0.04"
,"0.04"
,"0.19"
,"0.04"
,"0.05"
,"0.07"
,"0.02"
,"0.06"
,"0.07"
,"0.05"
,"0.09"
,"0.06"
,"0.02"
,"0.02"
,"0.01"
,"0.12"
,"0.04"
,"0.04"
,"0.07"
,"0.04"
,"0.06"
,"0.02"
,"0.04"
,"0.03"
,"0.03"
,"0.05"
,"0.05"
,"0.02"
,"0.04"
,"0.07"
,"0.06"
,"0.03"
,"0.03"
,"0.05"
,"0.07"
,"0.02"
,"0.04"
,"0.11"
,"0.07"
,"0.04"
,"0.04"
,"0.03"
,"0.1"
,"0.04"
,"0.05"
,"0.07"
,"0.04"
,"0.08"
,"0.02"
,"0.03"
,"0.03"
,"0.02"
,"0.05"
,"0.07"
,"0.12"
,"0.03"
,"0.03"
,"0.07"
,"0.12"
,"0.08"
,"0.26"
,"0.17"
,"0.04"
,"0.08"
,"0.04"
,"0.04"
,"0.04"
,"0.03"
,"0.12"
,"0.02"
,"0.06"
,"0.03"
,"0.1"
,"0.06"
,"0.04"
,"0.04"
,"0.05"
,"0.04"
,"0.09"
,"0.02"
,"0.09"
,"0.06"
,"0.06"
,"0.05"
,"0.14"
,"0.04"
,"0.02"
,"0.03"
,"0.04"
,"0.04"
,"0.16"
,"0.05"
,"0.04"
,"0.04"
,"0.02"
,"0.07"
,"0.03"
,"0.04"
,"0.07"
,"0.09"
,"0.04"
,"0.03"
,"0.06"
,"0.1"
,"0.03"
,"0.05"
,"0.24"
,"0.13"
,"0.05"
,"0.16"
,"0.03"
,"0.02"
,"0.08"
,"0.03"
,"0.07"
,"0.04"
,"0.06"
,"0.08"
,"0.04"
,"0.02"
,"0.07"
,"0.14"
,"0.06"
,"0.08"
,"0.04"
,"0.09"
,"0.05"
,"0.08"
,"0.06"
,"0.04"
,"0.06"
,"0.04"
,"0.03"
,"0.04"
,"0.06"
,"0.07"
,"0.12"
,"0.11"
,"0.09"
,"0.03"
,"0.04"
,"0.08"
,"0.04"
,"0.11"
,"0.03"
,"0.02"
,"0.17"
,"0.08"
,"0.05"
,"0.02"
,"0.06"
,"0.08"
,"0.04"
,"0.07"
,"0.04"
,"0.07"
,"0.04"
,"0.02"
,"0.04"
,"0.04"
,"0.04"
,"0.04"
,"0.02"
,"0.1"
,"0.02"
,"0.05"
,"0.1"
,"0.05"
,"0.03"
,"0.04"
,"0.04"
,"0.08"
,"0.04"
,"0.08"
,"0.05"
,"0.04"
,"0.05"
,"0.02"
,"0.17"
,"0.17"
,"0.12"
,"0.02"
,"0.02"
,"0.02"
,"0.04"
,"0.08"
,"0.08"
,"0.04"
,"0.06"
,"0.04"
,"0.07"
,"0.22"
,"0.02"
,"0.03"
,"0.04"
,"0.02"
,"0.02"
,"0.07"
,"0.04"
,"0.04"
,"0.02"
,"0.1"
,"0.07"
,"0.07"
,"0.08"
,"0.06"
,"0.1"
,"0.01"
,"0.03"
,"0.05"
,"0.03"
,"0.03"
,"0.03"
,"0.12"
,"0.19"
,"0.02"
,"0.03"
,"0.15"
,"0.05"
,"0.06"
,"0.02"
,"0.04"
,"0.03"
,"0.07"
,"0.07"
,"0.06"
,"0.04"
,"0.02"
,"0.01"
,"0.04"
,"0.03"
,"0.08"
,"0.02"
,"0.03"
,"0.14"
,"0.09"
,"0.17"
,"0.02"
,"0.02"
,"0.04"
,"0.08"
,"0.07"
,"0.02"
,"0.12"
,"0.03"
,"0.1"
,"0.04"
,"0.04"
,"0.1"
,"0.04"
,"0.09"
,"0.02"
,"0.02"
,"0.02"
,"0.08"
,"0.05"
,"0.02"
,"0.02"
,"0.08"
,"0.06"
,"0.15"
,"0.05"
,"0.05"
,"0.03"
,"0.02"
,"0.05"
,"0.04"
,"0.05"
,"0.05"
,"0.04"
,"0.13"
,"0.06"
,"0.17"
,"0.04"
,"0.03"
,"0.04"
,"0.02"
,"0.07"
,"0.05"
,"0.08"
,"0.04"
,"0.04"
,"0.02"
,"0.04"
,"0.02"
,"0.06"
,"0.05"
,"0.06"
,"0.12"
,"0.03"
,"0.06"
,"0.02"
,"0.02"
,"0.08"
,"0.03"
,"0.03"
,"0.02"
,"0.05"
,"0.04"
,"0.1"
,"0.05"
,"0.09"
,"0.04"
,"0.04"
,"0.16"
,"0.07"
,"0.04"
,"0.03"
,"0.11"
,"0.06"
,"0.08"
,"0.03"
,"0.04"
,"0.05"
,"0.04"
,"0.1"
,"0.03"
,"0.02"
,"0.02"
,"0.06"
,"0.08"
,"0.11"
,"0.06"
,"0.1"
,"0.05"
,"0.05"
,"0.08"
,"0.03"
